name,abbreviation,description
Astrologer, AS,"Astrologers are magi who specialize in creating a sound strategy before each battle. Oftentimes, their plans are so well-constructed that their creatures are able to take combat into their own hands without any further input from their master.\nAs an Astrologer, you'll plan most of your battle strategies before combat even begins. Astrologers allow their creatures to act on their own under certain conditions."
Doombringer, DO,"The Doombringer draws magic from the Bastion of the Void to fuel his creatures with vast amounts of power. Doombringers specialize in allowing their creatures to perform actions multiple times in a row, all while nullifying his enemies' efforts.\nAs a Doombringer, your creatures' on-action effects (on-attack, on-cast, etc) can activate additional times, allowing you to chain brutal combos together to devastate your enemies. Doombringers are also able to prevent enemies' on-action effects from occurring as a defensive measure, as well."
Grovetender, GR,"Grovetenders take great pride in their Herbling companions, strongly preferring to focus the bulk of their efforts on this prized creature over all the others. This peculiar mage knows just the right techniques to bring out her Herbling's full potential as it transforms rapidly in combat to wreak havoc on its foes.\nAs a Grovetender, you will always have a unique creature in your party called an Herbling. During battle, your creatures' actions will fertilize the Herbling, causing it to rapidly evolve until it turns into an unstoppable force of nature."
Purgatorian, PU,"Purgatorians blur the line between life and death. These mystical spellcasters are able to call upon the spirits of their slain creatures to continue fighting in the afterlife.\nAs a Purgatorian, your creatures are able to continue fighting even while they're dead In fact, thanks to your powers, your creatures will be even stronger in the afterlife. Be careful not to let all your creatures die, though, or it's game over!"
Rune Knight, RK,"Rune Knights call upon their runic powers - Cor, Dun, Lua, Nax and Sah - to bolster their creatures' strength and grant them powerful spells that are unavailable anywhere else.\nAs a Rune Knight, your creatures will have access to powerful Rune spells. Your creatures can cast these spells to create cumulative bonuses for your entire party."
Spellweaver, SP,"Chaos, Death, Life, Nature and Sorcery: the five components that gave birth to the land of Rodia. Spellweavers can call upon these elements to imbue their creatures with powerful inscriptions to decimate their foes in battle.\nAs a Spellweaver, your creatures can cast spells to produce Infusions which can be expended for powerful effects. After your creatures accumulate enough Infusions, they can cast the powerful Colorwave spell to annihilate their enemies."
Dreamshade,DS,"Dreamshades blur the line between dreams and reality. This mystical magi is adept at redirecting his foes' efforts for his own benefit.\nAs a Dreamshade, you'll utilize the Inverted debuff to cause your foes' damage to instead heal your creatures, and their healing effects to damage their allies."
Siegemaster, SM,"The Siegemaster is a stalwart protector who amplifies the defenses of his creatures to keep them strong in battle.\nAs a Siegemaster, you'll protect your creatures with powerful defensive mechanisms while they reflect damage taken back on their attackers. This specialization makes great use of the Defend command in battle."
Windrunner, WR,"Windrunners are vigilant sentinels who imbue their creatures with unmatched speed and vigor, allowing them to move so quickly that their opponents can't ever catch them.\nAs a Windrunner, you'll rely on the Speed stat to outplay your foes. This specialization also offers several ways to disable your enemies and prevent them from passing through your defenses."
Fanatic, FA,"Fanatics devote their lives to serving the gods. From dusk until dawn, these magi toil away at a neverending list of demands to better-serve each of the 21 gods of Rodia. Such devotion is not without purpose, however, for the Fanatic is able to call on the gods' power to serve him in his time of need.\nAs a Fanatic, you'll be able to take additional Avatar creatures with you on your journey and empower them and their Ultimate Spell Gems with potent magic. Fanatics also make use of Godspawn creatures and create powerful synergies between them and their Avatar allies."
Royal, RO,"Authority is passed down through generations, but true power must be earned. A master of all professions, the Royal possesses the unique ability to combine the powers of other specializations at will.\nAs a Royal, you'll be able to use more Anointments than anyone else, allowing you to create your own, custom specialization."
