Name,Item Name,Source,Trait Description
Death Threats,Horse Head in a Bed,Found in Treasure,"After your creatures Provoke, 3 random enemies activate their on-dodge effects. This trait does not stack."
Deathwalker's Destruction,Deathwalker's Tiara,Nether Boss (Deathwalker),"When an enemy takes damage from Bomb, it has a 50% chance to take this damage a second time. This effect can repeat multiple times in a row."
Deathwalker's Hymn,Deathwalker's Harp,Nether Boss (Deathwalker),Your Lepers share their innate traits with each other.
Deathwalker's Strangulation,Deathwalker's Gem,Nether Boss (Deathwalker),"When an enemy takes damage from Poisoned, it has a 50% chance to take this damage a second time. This effect can repeat multiple times in a row."
Deep Roots,Ancient Soulsoil,Found in Treasure,"When this creature takes damage from a creature that belongs to its class, it has a 75% chance to avoid that damage."
Determination,Gold Star of Courage,Found in Treasure,"After an ally dies, this creature gains 25% Defense."
Dragon's Rage,Draco Rubies,Found in Treasure,"At the start of this creature's turn, it Casts Fireball."
Dualcast,Ring of Echoes,Found in Treasure,"At the start of this creature's turn, it Casts the most recent spell it Cast again."
Dynamic Duos,Twin Gems,Found in Treasure,"For each creature in your party that is a class you have exactly 2 of, those creatures deal 160% more damage. For each creature in your party that is a race you have exactly 2 of, those creatures take 80% less damage. This trait ignores other traits and perks that increase the number of creatures of a specific race or class. This trait does not stack."
Eldritch Rune,Tome of Eldritch Knowledge,Found in Treasure,"At the start of battle, this creature's Maximum Health is set to 50%. This creature's spells are 100% more potent."
Ember Soul,Souls of the Ineffable,Found in Treasure,"While this creature has Burning, it has 75% more Attack and Speed."
Embiggening,Pulsing Stone,Found in Treasure,This creature gains 100% more stats.
Emerald Blessings,Emerald Tide Scrap,Found in Treasure,This creature gives and receives 150% more healing.
Erratic,Strange Smoke,Found in Treasure,"At the start of battle, one of your creatures is chosen to have 150% more stats (other than Health) for the rest of the battle."
Etta's Coercion,Etta's Spices,Nether Boss (Etta),"At the end of each enemy's turn, this creature has a 20% chance to force them to Attack one of their allies. This trait does not stack."
Etta's Jealousy,Etta's Doll,Nether Boss (Etta),"At the end of each enemy's turn, this creature has a 20% chance to force them to Cast a random, damaging spell in this creature's favor. This trait does not stack."
Etta's Seduction,Etta's Blindfold,Nether Boss (Etta),"At the start of this creature's turn, a random enemy gives 15% of their stats to this creature."
Excruciating Venom,Venomous Stinger,Found in Treasure,"After this creature Attacks an enemy with Poisoned, it gains Attack equal to 50% of the potency of this debuff."
Extradimensional Shield,Manual Kinetic Splitter,Found in Treasure,This creature is immune to instant-death effects while it has fewer than 5 debuffs.
Father Shadow,Shadow Essence,Nether Boss (Inner Darkness),"After this creature damage an enemy with an attack or spell, it deals damage to a random enemy equal to 20% of the damage dealt."
Final Act of Hatred,Claymore of Hatred,Nether Boss (Judgment & Mercy),"When one of your creatures dies, each of their non-Ethereal Spell Gems has a 20% chance to be Cast."
Final Act of Judgement,Claymore of Judgment,Nether Boss (Judgment & Mercy),"At the start of this creature's turn, it deals damage to enemies equal to 1% of their Current Health for every 0.5% of Health this creature is missing. The damage cannot exceed 35% of each creature's Current Health."
Final Act of Mercy,Claymore of Mercy,Nether Boss (Judgment & Mercy),"At the start of this creature's turn, it kills all enemies that are below 25% Health."
Firedevil's Will,Firedevil's Tears,Found in Treasure,Your creatures are immune to Burning and enemies take 50% more damage from this debuff. This trait does not stack.
Flash Barrier,Barrier Parts,Found in Treasure,This creature takes 90% less damage until the start of its first turn.
Flower Power,Weeds and Seeds,Found in Treasure,"At the start of battle, your creatures gain 3 random Nature Spell Gems. This trait does not stack."
Flubris' Engulfing,Flubris' Ichor,Nether Boss (Flubris),"When an enemy takes damage from Burning, it loses 20% Attack and Defense. This trait does not stack."
Flubris' Entrapment,Flubris' Third Arm,Nether Boss (Flubris),"When an enemy takes damage from Poisoned or Burning, they have a 50% chance to be afflicted with a random debuff. This trait does not stack."
Flubris' Toxicity,Flubris' Eyeballs,Nether Boss (Flubris),"When an enemy takes damage from Poisoned, it loses 20% Intelligence and Speed. This trait does not stack."
Focused Magicks,Ethereal Lens,Found in Treasure,"Your creatures' Ethereal Spell Gems ignore 30% of enemies' Defense, plus 10% more for each creature missing from your party. This trait does not stack."
Forced Momentum,Cursed Scope,Found in Treasure,"At the start of your creatures' turns, they have a 35% chance to gain a random trait. This trait does not stack."
Frostburn,Frigid Flame,Found in Treasure,"After an enemy takes damage from Burning, it is afflicted with Frozen. This trait does not stack."
Frozen Legion,Meat Popsicle,Found in Treasure,"After your creatures Attack an enemy with Frozen, they gain 1 stack of Zombies. This trait does not stack."
Furness' Decadence,Broken Bottle,Nether Boss (Furness),Your creature can Cast Booze Spells without consuming Charges.
Furness' Instability,Pills,Nether Boss (Furness),"At the start of this creature's turn, it Casts one of its non-Ethereal Booze Spell spells."
Furness' Stupor,Dried Vomit,Nether Boss (Furness),This creature's Booze Spells are 100% more potent.
Gambler's Game,Riskium,Found in Treasure,"At the start of each creature's turn, it has a 50% chance to gain a random buff. Otherwise, it gains a random trait. This trait does not stack."
Gem Leech,Crystalline Bloodsucker,Found in Treasure,"After this creature Attacks, it Casts one of the target's Spell Gems."
Gift of Charybdis,Charybdis' Trident,Nether Boss (Scylla & Charybdis),"After your creatures die, they grant 25% of their Intelligence and Defense to all your creatures. This trait does not stack."
Gift of Scylla,Scylla's Plume,Nether Boss (Scylla & Charybdis),"After your creatures die, they grant 25% of their Attack and Speed to all your creatures. This trait does not stack."
Giftwrapped Army,Kraynaks' Plank,Nether Boss (Kraynaks),"At the start of battle, your Mimic creatures gain 1 random buff for each Mimic fighting on your side. This trait does not stack."
Giran's Rigor,Giran's Eye,Nether Boss (Giran),This creature cannot lose stats.
Giran's Strategy,Giran's Skull,Nether Boss (Giran),"At the start of battle, this creature's Health, Attack, Intelligence, Defense, and Speed are set equal to those of the second, third, fourth, fifth, and sixth creature in your party."
Giran's Unity,Giran's Kneecap,Nether Boss (Giran),This creature has additional stats equal to 10% of your other creatures' stats.
Glitch In The System,Fried Circuitry,Found in Treasure,"When a creature would gain a buff, it is afflicted with a random debuff instead."
Guards!,Handcuffs,Found in Treasure,"After this creature Attacks an enemy with Stone, it has a 30% chance to be killed."
Harbinger's Sign,Death Herald,Found in Treasure,"After this creature is Attacked, it has a 50% chance to Cast Harbinger's Curse."
Heads or Tails,Lucky Coin,Found in Treasure,"After this creature Attacks, it has a 50% chance to gain a random buff. Otherwise, it gains a random minion."
Hederas's Grasp,Bindwood,Found in Treasure,"After this creature Attacks, it afflicts the target and the creatures adjacent to the target with Snared. This creature's attacks deal 40% more damage."
Hee Hay Ho Ha,Impington's Laser Eye,Nether Boss (Imp Impington),Your creatures Cast 1 additional time for every 2 Imp creatures fighting on your side. This trait does not stack.
Hee Hoo Ha,Impington's Totem,Nether Boss (Imp Impington),Your creatures have a 15% chance to take an additional turn. This trait does not stack.
Hemophilia,Bloody Rags,Found in Treasure,Enemies' Bleeding debuffs last forever and deal 35% more damage. This trait does not stack.
Hidden Potential,Self-Help Book,Found in Treasure,"At the start of this creature's third turn, it recovers 100% Health and gains 100% stats (other than Health)."
High Risk,Drake Scale,Found in Treasure,Your creatures deal 40% more damage and take 10% more damage for each turn they've taken in the current battle. This trait does not stack.
Hive,Hivestone,Found in Treasure,This creature has 15% more stats (other than Health) for each other creature with this trait fighting on your side.
Hoarding,Sentimental Rock,Found in Treasure,This creature has 50% more Intelligence for each different class of Spell Gem it has equipped.
Hoo Ho Ha,Impington's Cog,Nether Boss (Imp Impington),"After this creature is killed, it is resurrected as Imp Impington Prime."
Horde Limits,Vaccine,Found in Treasure,"After your creatures are afflicted with a debuff, they have a 25% chance to gain Immune. This trait does not stack."
Ianne's Eccentricity,Ianne's Third Eye,Nether Boss (Blacksmith Ianne),"After this creature Attacks, the target deals 100 damage to all your creatures. This damage is not mitigated by Defense."
Ianne's Oddity,Ianne's Bad Leg,Nether Boss (Blacksmith Ianne),"When your creatures take damage that exceeds 30% of their Maximum Health, reduce this damage by 50% This trait does not stack."
Ianne's Quirk,Ianne's Chiclets,Nether Boss (Blacksmith Ianne),After this creature Attacks it Casts Metamorphosis on the target.
Impatience,Burnt Spoon,Found in Treasure,"After all start-of-battle effects, this creature and a random enemy activate their start-of-turn and end-of-turn effects. Your creatures cannot be resurrected. This trait does not stack."
Imposter Syndrome,Shattered Mirror,Found in Treasure,"At the start of battle, this creature gains stats (other than Health) equal to 50% of your other creatures' highest stats. This creature starts battles at the bottom of the timeline."
Improbable Catapult,Trait Launcher,Found in Treasure,"At the start of this creature's turn, enemies gain a copy of its innate trait. This trait can only activate once per side."
In All Things,Broken Scales,Found in Treasure,"At the end of this creature's turn, it gains stats equal to 20% of its highest stat."
Incoming Tide,Selene's Soul,Found in Treasure,"At the start of this creature's turn, it has a 50% chance to Cast Submerge."
Infestation,Clump of Spiderlings,Found in Treasure,"At the start of your creatures' turns, they gain 1 to 3 stacks of Spiderlings. This trait does not stack."
Insane Polarity,!@#$ing Magnets,Found in Treasure,"At the start of battle, your creatures' Ethereal Spell Gems gain the first enchantment of their owner's first permanent Spell Gem."
Insight,Lens of Insight,Found in Treasure,Your creatures can target Invisible enemies.
Jiggly,Gelatin Lump,Found in Treasure,This creature has 50% less Defense and 100% more Speed.
Katarina's Asylum,Katarina's Visage,Nether Boss (Katarina),"When your creatures take damage, they take 35% more damage but gain Invisible."
Katarina's Guidance,Katarina's Essence,Nether Boss (Katarina),"At the start of battle, your creature that is highest on the Timeline gains 5 random buffs. This trait does not stack."
Katarina's Return,Katarina's Brace,Nether Boss (Katarina),"After your creatures take damage, they recover 30% Health. This trait does not stack."
Kiichi's Aggression,Kiichi's Fang,Nether Boss (Kiichi),"After an enemy takes damage from Bleeding, all other enemies take 50% of that damage. This trait does not stack."
Kiichi's Onslaught,Kiichi's Mane,Nether Boss (Kiichi),"When an enemy takes damage from Bleeding, it has a 50% chance to take this damage again. This effect can repeat multiple times in a row. This trait does not stack."
Kiichi's Persistence,Kiichi's Tail,Nether Boss (Kiichi),Enemies with Bleeding take this damage an additional time at the end of their turn. This damage is not modified by traits and other effects that affect Bleeding. This trait does not stack.
Law of the Large,The Tedious Device,Found in Treasure,This creature has additional Speed equal to 30% of its Current Health.
Lion's Roar,Lion Toy,Found in Treasure,"After this creature takes damage from an enemy, it decreases the enemy's Attack and Defense by 30%."
Lithos Evolution,Lithos Sinew,Found in Treasure,"At the start of your creatures' turns, they gain 10% Maximum Health. This trait does not stack."
Loid's Laugh,Loid's Boil,Nether Boss (Loid),"After an enemy Casts a spell, it loses 20% Intelligence and is afflicted with Silenced. This trait does not stack."
Loid's Pustulant Pimples,Loid's Hair,Nether Boss (Loid),"After an enemy Defends or Provokes, it is afflicted with 3 random debuffs. This trait does not stack."
Loid's Visage,Loid's Pimple,Nether Boss (Loid),"After an enemy Attacks, it loses 20% Attack and is afflicted with Scorned. This trait does not stack."
Lord of Undeath,Legendary Undead Fragment,Found in Treasure,"After one of your creatures' minions go away, all your creatures gain a random minion. This trait does not stack."
Love Giveth,Still-Beating Heart,Found in Treasure,Your creatures gain 50% more Maximum Health from stat-increasing effects. This trait does not stack.
Mad Man,Crazy Man's Corpse,Found in Treasure,"While your creatures are below 50% Health, they have 50% more stats (other than Health). This trait does not stack."
Mass Pandemic,Dice Set,Found in Treasure,"After an enemy takes damage from Poisoned, the potency of all enemies' Poisoned debuffs is increased by 15%. This trait does not stack."
Master of Abominations,Sigil of the Abomination,Abomination Master,"If all the creatures in your party are Abominations, enemies always have Weak and Vulnerable, and take 50% more damage. This trait does not stack."
Master of Alementals,Sigil of the Alemental,Alemental Master,"At the start of battle, your Alementals gain 2 random Booze spells for each Alemental fighting on your side. This trait does not stack."
Master of Amaranths,Sigil of the Amaranth,Amaranth Master,"At the start of battle, your Amaranths share 15% of their Defense with each other. This trait does not stack."
Master of Amphisbaena,Sigil of the Amphisbaena,Amphisbaena Master,"If all the creatures in your party are Amphisbaenas, their innate traits' repsective effects activate 1 additional time. This trait does not stack."
Master of Angels,Sigil of the Angel,Angel Master,Your Angels' attacks apply all the debuffs that your other Angels' innate traits apply as well.
Master of Animations,Sigil of the Animation,Animation Master,"If all the creatures in your party are Animations, the first and last creatures in your party are considered to be adjacent to all their allies."
Master of Apises,Sigil of the Apis,Apis Master,"At the start of battle, your Apises gain the Long Live trait."
Master of Apocalypses,Sigil of the Apocalypse,Apocalypse Master,Your Apocalypses act as if they take 2 turns at once. This trait does not stack.
Master of Arachnalisks,Sigil of the Arachnalisk,Arachnalisk Master,Enemies take 20% more damage from Poisoned for each Arachnalisk fighting on your side. This trait does not stack.
Master of Arbiters,Sigil of the Arbiter,Arbiter Master,"If all the creatures in your party are Arbiters, their innate traits are 50% more powerful. This trait does not stack."
Master of Aspects,Sigil of the Aspect,Aspect Master,"Your Aspects have another 50% independent chance to Dodge attacks. In addition, your Aspects take 25% less damage from all sources. This trait does not stack."
Master of Asuras,Sigil of the Asura,Asura Master,Your Asuras' on-critical effects activate 2 additional times. This trait does not stack.
Master of Automatons,Sigil of the Automaton,Automaton Master,"If all the creatures in your party are Automatons, the strength of their innate traits is doubled. This trait does not stack."
Master of Banshees,Sigil of the Banshee,Banshee Master,"If all the creatures in your party are Banshees, enemies always have Scorned."
Master of Bards,Sigil of the Bard,Bard Master,"If all the creatures in your party are Bards, their Song traits are 100% more effective and they have an independent 50% chance to deal critical damage. This trait does not stack."
Master of Basilisks,Sigil of the Basilisk,Basilisk Master,"If all the creatures in your party are Basilisks, they have a 20% chance to avoid damage. In addition, their innate traits have a 25% chance to activate even if they took damage between their turns. This trait does not stack."
Master of Bats,Sigil of the Bat,Bat Master,Your Bats have a 50% chance to Attack 1 additional time. This effect can occur repeatedly. This trait does not stack.
Master of Beacons,Sigil of the Beacon,Beacon Master,"At the start of battle, your Beacons' stats are averaged and then increased by 25%. This trait does not stack."
Master of Brownies,Sigil of the Brownie,Brownie Master,Your Brownies Attack 1 additional time for each Brownie fighting on your side. Your creatures deal 50% less damage. This trait does not stack.
Master of Calumniers,Sigil of the Calumnier,Calumnier Master,"If all the creatures in your party are Calumniers, they do not have decreased stats from their personalities."
Master of Carbuncles,Sigil of the Carbuncle,Carbuncle Master,"If all the creatures in your party are Carbuncles, their innate traits grow stronger twice as fast. This trait does not stack."
Master of Carnages,Sigil of the Carnage,Carnage Master,"After one of your Carnages kill an enemy, your other Carnages Attack a random enemy for 100% more damage. This trait does not stack."
Master of Carvers,Sigil of the Carver,Carver Master,Your Carvers deal 30% more damage and take 10% more damage for each Carver fighting on your side.
Master of Cataclysms,Sigil of the Cataclysm,Cataclysm Master,"If all the creatures in your party are Cataclysms, their traits have a 10% chance to activate at the start of each creatures' turn as well. This trait does not stack."
Master of Centaurs,Sigil of the Centaur,Centaur Master,Your Centaurs' attacks deal 20% more damage and have an independent 10% chance to deal critical damage for each Centaur fighting on your side. This trait does not stack.
Master of Cerberuses,Sigil of the Cerberus,Cerberus Master,"If all the creatures in your party are Cerberuses, they can manually Cast spells."
Master of Cherubs,Sigil of the Cherub,Cherub Master,"If all the creatures in your party are Cherubs, the maximum absorption of their Barrier buffs is increased by 200%. This trait does not stack."
Master of Chimeras,Sigil of the Chimera,Chimera Master,"If all the creatures in your party are Chimeras, they take 75% less damage from creatures that belong to their fused creature's class. This trait does not stack."
Master of Clockworks,Sigil of the Clockwork,Clockwork Master,"If all the creatures in your party are Clockworks, their innate traits are 50% more powerful. This trait does not stack."
Master of Clutchers,Sigil of the Clutcher,Clutcher Master,"When an enemy dodges your Clutchers' attacks, they still take damage."
Master of Cockatrices,Sigil of the Cockatrice,Cockatrice Master,"If all the creatures in your party are Cockatrices, enemies always have Confused."
Master of Concoctions,Sigil of the Concoction,Concoction Master,"If all the creatures in your party are Concoctions, they have a 50% chance to Attack each enemy with Disarmed at the start of their turns. This trait does not stack."
Master of Constructs,Sigil of the Construct,Construct Master,Your Constructs' Arsenal Spells are 70% more potent. This trait does not stack.
Master of Crunchers,Sigil of the Cruncher,Cruncher Master,"If all the creatures in your party are Crunchers, they deal 10% more damage for each Sealed enemy Spell Gem. This trait does not stack."
Master of Crusaders,Sigil of the Crusader,Crusader Master,Your Crusaders start battles with Shelled.
Master of Denizens,Sigil of the Denizen,Denizen Master,"If all the creatures in your party are Denizens, enemies take 50% more damage from Mania. This trait does not stack."
Master of Demigods,Sigil of the Demigod,Demigod Master,"At the start of battle, your Demigods' stats are averaged and then increased by 25%. This trait does not stack."
Master of Devils,Sigil of the Devil,Devil Master,Increases the additional damage granted by your Devils' innate traits from 200% to 300%.
Master of Diabolic Horde,Sigil of the Diabolic Horde,Diabolic Horde Master,"At the start of battle, your creatures' races are changed to Diabolic Horde."
Master of Djinns,Sigil of the Djinn,Djinn Master,Your Djinns' spells always deal critical damage and have 40% more potency. This trait does not stack.
Master of Doom Fortresses,Sigil of the Doom Fortress,Doom Fortress Master,Your creatures deal 15% more damage for each Doom Fortress fighting on your side. This trait does not stack.
Master of Doomguards,Sigil of the Doomguard,Doomguard Master,"Your Doomguards have a 20% chance to avoid damage, or 50% if they are Defending or Provoking. This trait does not stack."
Master of Dragons,Sigil of the Dragon,Dragon Master,Your Dragons' innate traits activate 1 additional time. This trait does not stack.
Master of Dryads,Sigil of the Dryad,Dryad Master,Your Dryads' buffs and minions last forever.
Master of Dumplings,Sigil of the Dumpling,Dumpling Master,"At the start of battle, your Dumplings gain an Ultimate Spell depending on the skin they have equipped. If they don't have a skin equipped that was obtained from defeating a Dumpling in the wild, the spell will be chosen at random."
Master of Effigies,Sigil of the Effigy,Effigy Master,"If all the creatures in your party are Effigy creatures, they always have Cursed, Burning, Poisoned and Bleeding and take 75% less damage from these debuffs."
Master of Efreets,Sigil of the Efreet,Efreet Master,"When your creatures afflict enemies with Burning, the potency of this debuff is increased by 50% for each Efreet fighting on your side. This trait does not stack."
Master of Efts,Sigil of the Eft,Eft Master,"If all the creatures in your party are Efts, they have an independent 40% chance to dodge and deal critical damage. This trait does not stack."
Master of Eggxotics,Sigil of the Eggxotic,Eggxotic Master,Your Eggxotic creatures share the permanent buffs referenced in their traits with each other.
Master of Electropods,Sigil of the Electropod,Electropod Master,"If all the creatures in your party are Electropod, they gain 50% more Speed from stat-boosting effects. This trait does not stack."
Master of Elementasaurs,Sigil of the Elementasaur,Elementasaur Master,"If all the creatures in your party are Elementasaurs, they are resistant to debuffs and are afflicted with the debuffs referenced in their traits at the start of battle. This trait does not stack."
Master of Elves,Sigil of the Elf,Elf Master,"At the start of battle, your Elves share 5% of their stats with each other. This trait does not stack."
Master of Ents,Sigil of the Ent,Ent Master,"The first time your Ents are killed, they are resurrected with 10% Health."
Master of Fae,Sigil of the Fae,Fae Master,"If all the creatures in your party are Fae, they have a 60% chance to avoid damage from spells. This trait does not stack."
Master of Familiars,Sigil of the Familiar,Familiar Master,Your Familiars have 10% more Intelligence for each time your Familiars have Cast a spell in the current battle. This trait does not stack.
Master of Fiends,Sigil of the Fiend,Fiend Master,Your Fiends with Berserk have a 40% chance to avoid damage. This trait does not stack.
Master of Forsaken,Sigil of the Forsaken,Forsaken Master,"If all the creatures in your party are Forsaken, their innate traits have no downside."
Master of Gargantuans,Sigil of the Gargantuan,Gargantuan Master,Your Gargantuans have a 50% chance to avoid damage while they're Defending or Provoking. This trait does not stack.
Master of Gargoyles,Sigil of the Gargoyle,Gargoyle Master,"After your Gargoyles Cast a Chaos spell, your Gargoyles gain 20% Attack. This trait does not stack."
Master of Gemlings,Sigil of the Gemling,Gemling Master,"If all the creatures in your party are Gemlings, they can equip Spell Gems from any class."
Master of Ghouls,Sigil of the Ghoul,Ghoul Master,Your Ghouls deal additional damage with attacks and spells equal to 15% of their Speed for each Ghoul fighting on your side. This trait does not stack.
Master of Giants,Sigil of the Giant,Giant Master,Your Giants start battles with 30% more Health for each Giant fighting on your side. This trait does not stack.
Master of Godspawn,Sigil of the Godspawn,Godspawn Master,"If all the creatures in your party belong to the Godspawn race, at the start of battle, your Godspawn creatures gain their respective Avatar's trait."
Master of Golems,Sigil of the Golem,Golem Master,"At the start of battle, your Golems gain the Triple Take trait. If they already have this trait, they gain the Chip Off The Block trait instead."
Master of Gorgons,Sigil of the Gorgon,Gorgon Master,Your Gorgons deal 35% more damage to enemies with Stone for each Gorgon fighting on your side. This trait does not stack.
Master of Griffons,Sigil of the Griffon,Griffon Master,Your Griffons' on-attack and on-critical effects occur 1 additional time. This trait does not stack.
Master of Grimoires,Sigil of the Grimoire,Grimoire Master,"Your Grimoires are immune to Silenced. In addition, their Spell Gems do not consume Charges."
Master of Harpies,Sigil of the Harpy,Harpy Master,"After an enemy Attacks, your Harpies Attack a random enemy for 20% normal damage. This trait does not stack."
Master of Hemomancers,Sigil of the Hemomancer,Hemomancer Master,"If all the creatures in your party are Hemomancers, their on-attack and when-attacked effects activate 1 additional time. This trait does not stack."
Master of Hounds,Sigil of the Hound,Hound Master,Your Hounds' Dire Wolves now deal damage based on their highest stat rather than Speed.
Master of Hunters,Sigil of the Hunter,Hunter Master,Your Hunters' innate traits repeat twice as many times. This trait does not stack.
Master of Imlers,Sigil of the Imler,Imler Master,Your Imlers and Imlings deal 20% more damage for each Imler and Imling fighting on your side. This trait does not stack.
Master of Imlings,Sigil of the Imling,Imling Master,Your Imlers and Imlings take 5% less damage for each Imler and Imling fighting on your side. This trait does not stack.
Master of Imps,Sigil of the Imp,Imp Master,"At the start of battle, your Imps gain Shellbust. Your Imps' Shellbust now targets all enemies, and this spell's potency is not penalized for being Ethereal. This trait does not stack."
Master of Inquisitors,Sigil of the Inquisitor,Inquisitor Master,"If all the creatures in your party are Inquisitors, they gain a random minion at the start of their turns. This trait does not stack."
Master of Kolosses,Sigil of the Koloss,Koloss Master,Your Kolosses start battles with 20% more Current and Maximum Health for each Koloss fighting on your side. This trait does not stack.
Master of Krakens,Sigil of the Kraken,Kraken Master,"If all the creatures in your party are Krakens, the stat boosts from their innate traits is increased by 50%. This trait does not stack."
Master of Leeches,Sigil of the Leeche,Leeche Master,"If all the creatures in your party are Leeches, their Leeching buff lasts forever and heals for 300% more. This trait does not stack."
Master of Lepers,Sigil of the Leper,Leper Master,"If all the creatures in your party are Lepers, they afflict and additional debuff on enemies when they afflict them with a debuff. This trait does not stack."
Master of Liches,Sigil of the Lich,Liche Master,"After your Liches Cast a Death spell, they gain 10% Intelligence. This trait does not stack."
Master of Lucanians,Sigil of the Lucanian,Lucanian Master,"After all start-of-battle effects occur, if all the creatures in your party are Lucanians, their Attack and Intelligence are set equal to whichever is highest."
Master of Luckmantrias,Sigil of the Luckmantria,Luckmantria Master,"If all the creatures in your party are Luckmantrias, they each have a 40% chance to start battles at the top of the Timeline. This trait does not stack."
