battle_sprite,name,race,klass,health,attack,intelligence,defense,speed,total,sources,trait
spr_crits_battle_1433.png,Amphisbaena Arbitrator,Amphisbaena,Life,32,17,17,17,22,105,"Eternity's End, Where the Dead Ships Dwell",Multistrike
spr_crits_battle_1430.png,Amphisbaena Inspector,Amphisbaena,Life,33,18,17,17,22,107,"Eternity's End, Where the Dead Ships Dwell",Unbidden Miracle
spr_crits_battle_1428.png,Amphisbaena Gardener,Amphisbaena,Life,32,17,17,17,22,105,"Eternity's End, Where the Dead Ships Dwell",Unrealized Potential
spr_crits_battle_2085.png,Imperial Angel,Angel,Life,27,22,17,17,22,105,Surathli God Shop,Black Hole Halo
spr_crits_battle_2080.png,Aegis Angel,Angel,Life,31,21,16,17,22,107,Surathli God Shop,Hand of Light
spr_crits_battle_2082.png,Firewound Angel,Angel,Life,31,21,16,16,21,105,Surathli God Shop,Pyre
spr_crits_battle_2084.png,Icewound Angel,Angel,Life,26,21,16,16,21,100,Surathli God Shop,Rime
spr_crits_battle_2081.png,Doomblight Angel,Angel,Life,32,22,17,14,19,104,Surathli God Shop,Scourge
spr_crits_battle_2086.png,Angel Soulslayer,Angel,Life,31,21,16,16,21,105,Surathli God Shop,Soul to Keep
spr_crits_battle_2083.png,Goldblight Angel,Angel,Life,31,21,16,16,21,105,Surathli God Shop,Stasis
spr_crits_battle_2702.png,Thunderwound Angel,Angel,Life,26,21,21,16,16,100,Life Guild,Storm of the Century
spr_crits_battle_1868.png,Animatus,Animatus,Death,38,18,18,18,18,110,Animator Specialization,Brilliant Creation
spr_crits_battle_2104.png,Apis Warrior,Apis,Life,27,22,12,22,22,105,"Faraway Enclave, The Barrens",Crunch
spr_crits_battle_2109.png,Apis Guardian,Apis,Life,26,21,11,21,21,100,"Faraway Enclave, The Barrens",Grit
spr_crits_battle_2107.png,Apis Endurer,Apis,Life,33,23,13,20,20,109,"Faraway Enclave, The Barrens",Long Live
spr_crits_battle_2102.png,Apis Majesty,Apis,Life,32,22,12,19,19,104,"Faraway Enclave, The Barrens",Necessitarianism
spr_crits_battle_2108.png,Apis Adolescent,Apis,Life,26,21,11,21,21,100,Nature Guild,Primed And Ready
spr_crits_battle_2103.png,Apis Protector,Apis,Life,31,21,11,21,21,105,"Faraway Enclave, The Barrens",Righteous Concession
spr_crits_battle_2105.png,Apis Charger,Apis,Life,32,21,11,21,21,106,"Faraway Enclave, The Barrens",Threshold
spr_crits_battle_2106.png,Apis Defender,Apis,Life,28,18,13,23,23,105,"Faraway Enclave, The Barrens",Vigilance
spr_crits_battle_2097.png,Corox Apocalypse,Apocalypse,Chaos,37,15,15,20,20,107,"Caustic Reactor, Great Pandemonium",Culmination
spr_crits_battle_2100.png,Zarox Apocalypse,Apocalypse,Chaos,37,15,15,20,20,107,"Caustic Reactor, Great Pandemonium",Mungus Harbinger
spr_crits_battle_2099.png,Inox Apocalypse,Apocalypse,Chaos,37,15,15,20,20,107,"Caustic Reactor, Great Pandemonium",Naxor Harbinger
spr_crits_battle_2684.png,Zzyia Apocalypse,Apocalypse,Chaos,32,18,18,18,18,104,Chaos Guild,Phase Out
spr_crits_battle_2098.png,Gorum Apocalypse,Apocalypse,Chaos,38,16,16,21,21,112,"Caustic Reactor, Great Pandemonium",Quahn Harbinger
spr_crits_battle_2096.png,Agor Apocalypse,Apocalypse,Chaos,40,15,15,20,20,110,"Caustic Reactor, Great Pandemonium",Urdox Harbinger
spr_crits_battle_2095.png,Aaxer Apocalypse,Apocalypse,Chaos,37,15,15,20,20,107,"Caustic Reactor, Great Pandemonium",Urh Harbinger
spr_crits_battle_2117.png,Woolly Arachnalisk,Arachnalisk,Nature,28,23,23,13,18,105,"Arachnid Nest, Cutthroat Jungle",Arachnophobia
spr_crits_battle_2110.png,Ancient Arachnalisk,Arachnalisk,Nature,28,23,23,13,18,105,"Arachnid Nest, Cutthroat Jungle",Consume
spr_crits_battle_2114.png,Goliath Arachnalisk,Arachnalisk,Nature,28,23,23,13,18,105,"Arachnid Nest, Cutthroat Jungle",Entrapment
spr_crits_battle_2111.png,Canopy Arachnalisk,Arachnalisk,Nature,22,23,23,13,18,99,"Arachnid Nest, Cutthroat Jungle",Here to Die
spr_crits_battle_2112.png,Creeping Arachnalisk,Arachnalisk,Nature,28,23,23,13,18,105,"Arachnid Nest, Cutthroat Jungle",Hopelessness
spr_crits_battle_2712.png,Razorweb Arachnalisk,Arachnalisk,Nature,36,16,16,16,26,110,Nature Guild,Jagged Edges
spr_crits_battle_2113.png,Dragonlair Arachnalisk,Arachnalisk,Nature,28,23,23,13,18,105,"Arachnid Nest, Cutthroat Jungle",Numbing Venom
spr_crits_battle_2116.png,Spitting Arachnalisk,Arachnalisk,Nature,28,23,23,13,18,105,"Arachnid Nest, Cutthroat Jungle",Spit Poison
spr_crits_battle_2164.png,Aspect of Change,Aspect,Nature,29,19,19,14,24,105,Meraxis God Shop,Call of Evolution
spr_crits_battle_2120.png,Aspect of Seasons,Aspect,Nature,29,19,19,14,24,105,Meraxis God Shop,Call of the Aspect
spr_crits_battle_2121.png,Springtime Aspect,Aspect,Nature,29,19,19,14,24,105,Meraxis God Shop,Call of the Bloom
spr_crits_battle_2695.png,Aspect of Decay,Aspect,Death,27,17,17,17,27,105,Death Guild,Call of the Grave
spr_crits_battle_2118.png,Autumn Aspect,Aspect,Nature,29,19,19,14,24,105,Meraxis God Shop,Call of the Harvest
spr_crits_battle_2122.png,Summer Aspect,Aspect,Nature,26,19,19,14,24,102,Meraxis God Shop,Call of the Solstice
spr_crits_battle_2124.png,Winter Aspect,Aspect,Nature,27,17,19,14,24,101,Meraxis God Shop,Call of the Tundra
spr_crits_battle_2123.png,Aspect of Time,Aspect,Nature,29,19,19,14,24,105,Meraxis God Shop,Call of Time
spr_crits_battle_2126.png,Asura Bonebreaker,Asura,Chaos,35,25,15,10,25,110,"Cutthroat Jungle, Great Pandemonium, Kingdom of Heretics, The Barrens",Ferocity
spr_crits_battle_2131.png,Asura Strangler,Asura,Chaos,32,22,15,10,25,104,"Cutthroat Jungle, Great Pandemonium, Kingdom of Heretics, The Barrens",Lacerate
spr_crits_battle_2127.png,Asura Fleshstomper,Asura,Chaos,34,24,14,9,24,105,"Cutthroat Jungle, Great Pandemonium, Kingdom of Heretics, The Barrens",Marked With Blood
spr_crits_battle_2129.png,Asura Heartripper,Asura,Chaos,35,25,15,10,25,110,"Cutthroat Jungle, Great Pandemonium, Kingdom of Heretics, The Barrens",Pummel
spr_crits_battle_2130.png,Zantai,Asura,Chaos,32,25,15,10,25,107,Unknown,Quadhits
spr_crits_battle_2128.png,Asura Gutslasher,Asura,Chaos,34,24,14,12,24,108,"Cutthroat Jungle, Great Pandemonium, Kingdom of Heretics, The Barrens",Sidewinder
spr_crits_battle_2125.png,Asura Blooddrinker,Asura,Chaos,34,24,14,9,24,105,"Cutthroat Jungle, Great Pandemonium, Kingdom of Heretics, The Barrens",Thirst For Blood
spr_crits_battle_2137.png,Siege Automaton,Automaton,Sorcery,34,19,19,19,19,110,"Caustic Reactor, Refuge of the Magi",Battle From Within
spr_crits_battle_2138.png,War Automaton,Automaton,Sorcery,33,18,18,18,18,105,"Caustic Reactor, Refuge of the Magi",Downturn
spr_crits_battle_2134.png,Cursed Automaton,Automaton,Sorcery,31,19,19,19,19,107,"Caustic Reactor, Refuge of the Magi",Euphoria
spr_crits_battle_2135.png,Decrepit Automaton,Automaton,Sorcery,32,17,20,20,20,109,"Caustic Reactor, Refuge of the Magi",Instigation
spr_crits_battle_2132.png,Ancient Automaton,Automaton,Sorcery,34,19,19,19,19,110,"Caustic Reactor, Refuge of the Magi",Momentum
spr_crits_battle_2133.png,Arcane Automaton,Automaton,Sorcery,31,19,19,19,19,107,"Caustic Reactor, Refuge of the Magi",Motivation
spr_crits_battle_2136.png,Luxury Automaton,Automaton,Sorcery,31,19,19,19,19,107,"Caustic Reactor, Refuge of the Magi",Pandemic
spr_crits_battle_1064.png,Erebyss,Avatar,Death,38,18,18,18,18,110,Gate of the Gods,Avenged Sevenfold
spr_crits_battle_1069.png,Mortem,Avatar,Death,38,18,18,17,17,108,Gate of the Gods,Blood Pact
spr_crits_battle_1071.png,Regalis,Avatar,Nature,37,17,17,20,20,111,Gate of the Gods,Brothel
spr_crits_battle_1246.png,Gonfurian,Avatar,Chaos,38,18,18,17,18,109,Gate of the Gods,Eraser
spr_crits_battle_1070.png,Perdition,Avatar,Life,38,18,18,17,18,109,Gate of the Gods,Euthanasia
spr_crits_battle_1080.png,Zonte,Avatar,Sorcery,38,18,18,18,18,110,Gate of the Gods,Expanded Power
spr_crits_battle_1078.png,Vulcanar,Avatar,Chaos,38,18,18,18,18,110,Gate of the Gods,Firelord
spr_crits_battle_1075.png,Torun,Avatar,Nature,36,16,16,19,19,106,Gate of the Gods,I HATE YOU !@#$ING ALL
spr_crits_battle_1074.png,Tenebris,Avatar,Sorcery,38,18,18,18,18,110,Gate of the Gods,Lingering Essence
spr_crits_battle_1077.png,Vertraag,Avatar,Death,38,18,18,18,18,110,Gate of the Gods,Lune
spr_crits_battle_1068.png,Meraxis,Avatar,Nature,36,16,19,19,19,109,Gate of the Gods,Marigold
spr_crits_battle_1061.png,Aurum,Avatar,Sorcery,36,16,16,19,19,106,Gate of the Gods,Pandora
spr_crits_battle_1067.png,Lister,Avatar,Life,38,18,18,17,17,108,Gate of the Gods,Perfect Imperfection
spr_crits_battle_1059.png,Aeolian,Avatar,Sorcery,38,18,18,18,18,110,Gate of the Gods,Periphery
spr_crits_battle_1072.png,Surathli,Avatar,Life,38,18,18,18,18,110,Gate of the Gods,Prayer Position
spr_crits_battle_1076.png,Venedon,Avatar,Chaos,42,17,17,17,17,110,Gate of the Gods,Soul Reaver
spr_crits_battle_1065.png,Friden,Avatar,Death,38,18,18,17,18,109,Gate of the Gods,The Black
spr_crits_battle_1073.png,Tartarith,Avatar,Chaos,36,18,18,18,18,108,Gate of the Gods,The End
spr_crits_battle_1063.png,Caliban,Avatar,Chaos,38,18,18,18,18,110,Gate of the Gods,The Nether
spr_crits_battle_1079.png,Yseros,Avatar,Life,42,17,17,17,17,110,Gate of the Gods,The Truth
spr_crits_battle_1060.png,Apocranox,Avatar,Nature,42,17,17,17,17,110,Gate of the Gods,Trick Shot
spr_crits_battle_1062.png,Azural,Avatar,Sorcery,42,17,17,17,17,110,Gate of the Gods,Wintermaul
spr_crits_battle_2142.png,Impaler Banshee,Banshee,Death,30,16,16,16,26,104,Ariamaki God Shop,Empowered Bone Spear
spr_crits_battle_2145.png,Styx Banshee,Banshee,Death,31,16,16,16,26,105,Ariamaki God Shop,Empowered Chain Lightning
spr_crits_battle_2146.png,Tormented Banshee,Banshee,Death,30,15,17,17,27,106,Ariamaki God Shop,Empowered Death Blossom
spr_crits_battle_2139.png,Abyss Banshee,Banshee,Death,30,15,16,16,26,103,Ariamaki God Shop,Empowered Death Siphon
spr_crits_battle_2141.png,Destruction Banshee,Banshee,Death,31,16,16,16,26,105,Ariamaki God Shop,Empowered Fireball
spr_crits_battle_2140.png,Anguish Banshee,Banshee,Death,33,18,15,15,25,106,Ariamaki God Shop,Empowered Magic Missile
spr_crits_battle_2144.png,Savage Banshee,Banshee,Death,32,17,17,14,27,107,Ariamaki God Shop,Empowered Savage Spores
spr_crits_battle_2147.png,Valentine Banshee,Banshee,Death,31,16,16,16,26,105,Ariamaki God Shop,Empowered Soul Sacrifice
spr_crits_battle_2691.png,Phobos Banshee,Banshee,Death,31,11,26,16,21,105,Death Guild,Tempest
spr_crits_battle_1114.png,Bard Caroller,Bard,Sorcery,40,18,28,13,13,112,Sorcery Guild,Christmas Music Sucks
spr_crits_battle_1115.png,Bard Fool,Bard,Sorcery,42,17,27,12,12,110,"Blood Grove, Temple of Lies",Fable
spr_crits_battle_1118.png,Bard Poet,Bard,Sorcery,40,18,28,13,13,112,"Blood Grove, Temple of Lies",Hymn of Guile
spr_crits_battle_1119.png,Bard Trovatore,Bard,Sorcery,39,17,27,12,12,107,"Blood Grove, Temple of Lies",Hymn of Panic
spr_crits_battle_1120.png,Bard Versifier,Bard,Sorcery,40,18,28,13,13,112,"Blood Grove, Temple of Lies",Hymn of Strength
spr_crits_battle_1113.png,Bard Balladeer,Bard,Sorcery,43,17,27,12,12,111,"Blood Grove, Temple of Lies",Song of Alacrity
spr_crits_battle_1116.png,Bard Jongleur,Bard,Sorcery,39,17,27,12,12,107,"Blood Grove, Temple of Lies",Song of Resolve
spr_crits_battle_1117.png,Bard Minstrel,Bard,Sorcery,42,17,27,12,12,110,"Blood Grove, Temple of Lies",Song of Wit
spr_crits_battle_2148.png,Crashing Basilisk,Basilisk,Chaos,36,21,21,16,16,110,Vulcanar God Shop,Awakening
spr_crits_battle_2153.png,Spitting Basilisk,Basilisk,Chaos,35,20,20,20,15,110,Vulcanar God Shop,Heated Ichor
spr_crits_battle_2149.png,Dormant Basilisk,Basilisk,Chaos,34,19,19,19,14,105,Vulcanar God Shop,Here Until Forever
spr_crits_battle_2152.png,Roaring Basilisk,Basilisk,Chaos,32,20,20,20,15,107,Vulcanar God Shop,No Sudden Movement
spr_crits_battle_2151.png,Lurking Basilisk,Basilisk,Chaos,35,20,20,20,15,110,Vulcanar God Shop,Run Free
spr_crits_battle_2154.png,Stomping Basilisk,Basilisk,Chaos,35,20,20,20,15,110,Vulcanar God Shop,Sap
spr_crits_battle_2150.png,Ethereal Basilisk,Basilisk,Chaos,34,19,19,19,14,105,Vulcanar God Shop,Sluice
spr_crits_battle_2710.png,Angel Bat,Bat,Life,27,17,17,17,27,105,Life Guild,Amongst Gods
spr_crits_battle_2163.png,Vampire Bat,Bat,Chaos,26,23,13,13,28,103,"Arachnid Nest, Blood Grove, Great Pandemonium",Blood Sucker
spr_crits_battle_2156.png,Crypt Bat,Bat,Chaos,28,23,13,13,28,105,"Arachnid Nest, Blood Grove, Great Pandemonium",Bombardment
spr_crits_battle_2158.png,Mutated Crypt Bat,Bat,Chaos,27,22,12,13,27,101,"Arachnid Nest, Blood Grove, Great Pandemonium",Cloud of Bats
spr_crits_battle_2157.png,Death Bat,Bat,Chaos,27,12,27,12,27,105,"Arachnid Nest, Blood Grove, Great Pandemonium",Dark Passenger
spr_crits_battle_2161.png,Pulse Bat,Bat,Chaos,27,22,12,13,28,102,"Arachnid Nest, Blood Grove, Great Pandemonium",Echolocation
spr_crits_battle_2160.png,Mutated Pulse Bat,Bat,Chaos,27,23,13,13,28,104,"Arachnid Nest, Blood Grove, Great Pandemonium",Screeching Barrage
spr_crits_battle_2162.png,Slurping Bat,Bat,Chaos,23,23,13,13,28,100,"Arachnid Nest, Blood Grove, Great Pandemonium",Sluuurp!
spr_crits_battle_2159.png,Mutated Vampire Bat,Bat,Chaos,27,22,12,13,28,102,"Arachnid Nest, Blood Grove, Great Pandemonium",Vampiric Aura
spr_crits_battle_2179.png,Brownie Trickster,Brownie,Nature,36,21,16,16,21,110,"Blood Grove, Cutthroat Jungle, Unsullied Meadows",Brain Bash
spr_crits_battle_2176.png,Brownie Loner,Brownie,Nature,34,21,16,16,21,108,"Blood Grove, Cutthroat Jungle, Unsullied Meadows",Independence
spr_crits_battle_2178.png,Shogun,Brownie,Nature,36,21,16,16,21,110,"Blood Grove, Cutthroat Jungle, Unsullied Meadows",Kirisute Gomen
spr_crits_battle_2172.png,Blademaster,Brownie,Nature,36,21,16,16,21,110,"Blood Grove, Cutthroat Jungle, Unsullied Meadows",Overkill
spr_crits_battle_2177.png,Brownie Mauler,Brownie,Nature,33,21,16,16,21,107,"Blood Grove, Cutthroat Jungle, Unsullied Meadows",Sweeping Smash
spr_crits_battle_2173.png,Brownie Brute,Brownie,Nature,37,22,17,15,20,111,"Blood Grove, Cutthroat Jungle, Unsullied Meadows",Ultimatum
spr_crits_battle_2174.png,Brownie Captain,Brownie,Nature,35,20,15,15,20,105,"Blood Grove, Cutthroat Jungle, Unsullied Meadows",Wallop
spr_crits_battle_2175.png,Brownie Enforcer,Brownie,Nature,35,20,15,15,20,105,"Blood Grove, Cutthroat Jungle, Unsullied Meadows",Wrecking Ball
spr_crits_battle_1109.png,Topaz Carbuncle,Carbuncle,Sorcery,38,13,23,13,23,110,"Eternity's End, Temple of Lies",Absolute Power
spr_crits_battle_1108.png,Ruby Carbuncle,Carbuncle,Sorcery,35,13,23,13,23,107,"Eternity's End, Temple of Lies",Annex
spr_crits_battle_1110.png,Onyx Carbuncle,Carbuncle,Sorcery,38,13,23,13,23,110,"Eternity's End, Temple of Lies",Magic Barrier
spr_crits_battle_1106.png,Sapphire Carbuncle,Carbuncle,Sorcery,31,13,23,13,23,103,"Eternity's End, Temple of Lies",Nirvana
spr_crits_battle_1107.png,Emerald Carbuncle,Carbuncle,Sorcery,35,13,23,13,23,107,"Eternity's End, Temple of Lies",Paramount
spr_crits_battle_1111.png,Aquamarine Carbuncle,Carbuncle,Sorcery,35,13,23,13,23,107,"Eternity's End, Temple of Lies",Thirst For Power
spr_crits_battle_2185.png,Shadow Carnage,Carnage,Death,36,26,11,11,21,105,"Bastion of the Void, Torture Chamber",Augmentation
spr_crits_battle_2184.png,Rotten Carnage,Carnage,Death,41,26,11,11,21,110,"Bastion of the Void, Torture Chamber",Consumption
spr_crits_battle_2186.png,Carnage Tormenter,Carnage,Death,40,25,10,11,21,107,"Bastion of the Void, Torture Chamber",Deadly Instincts
spr_crits_battle_2180.png,Carnage Antagonizer,Carnage,Death,37,27,12,12,22,110,"Bastion of the Void, Torture Chamber",Demoralize
spr_crits_battle_2183.png,Fallen Carnage,Carnage,Death,43,28,13,6,23,113,"Bastion of the Void, Torture Chamber",Midnight Feast
spr_crits_battle_2182.png,Carnage Devourer,Carnage,Death,40,25,12,12,22,111,"Bastion of the Void, Torture Chamber",Rapid Digestion
spr_crits_battle_2181.png,Carnage Destructor,Carnage,Death,40,26,11,11,21,109,"Bastion of the Void, Torture Chamber",Rend and Tear
spr_crits_battle_2826.png,Carver Heartseeker,Carver,Chaos,30,20,20,15,20,105,"Caustic Reactor, Torture Chamber",Betrayal
spr_crits_battle_2830.png,Wicked Carver,Carver,Chaos,27,20,20,15,20,102,"Caustic Reactor, Torture Chamber",Cold Blood
spr_crits_battle_2824.png,Feral Carver,Carver,Chaos,27,23,13,23,18,104,Chaos Guild,Confrontation
spr_crits_battle_2825.png,Carver Chopper,Carver,Chaos,28,21,21,16,21,107,"Caustic Reactor, Torture Chamber",Eradication
spr_crits_battle_2829.png,Twisted Carver,Carver,Chaos,30,20,20,15,20,105,"Caustic Reactor, Torture Chamber",Peekaboo!
spr_crits_battle_2831.png,Demented Carver,Carver,Chaos,30,20,20,15,20,105,"Caustic Reactor, Torture Chamber",Roulette
spr_crits_battle_2828.png,Carver Shadowstalker,Carver,Chaos,32,22,22,12,17,105,"Caustic Reactor, Torture Chamber",Subversion
spr_crits_battle_2827.png,Carver Sadist,Carver,Chaos,30,20,20,15,20,105,"Caustic Reactor, Torture Chamber",Wild Stabs
spr_crits_battle_2190.png,Centaur Raider,Centaur,Nature,36,21,16,16,21,110,"Kingdom of Heretics, Unsullied Meadows",Anticipation
spr_crits_battle_2192.png,Centaur Runner,Centaur,Nature,33,21,16,16,21,107,"Kingdom of Heretics, Unsullied Meadows",Infinite Struggle
spr_crits_battle_2191.png,Centaur Ranger,Centaur,Nature,36,21,16,11,21,105,"Kingdom of Heretics, Unsullied Meadows",On The Rocks
spr_crits_battle_2193.png,Centaur Warrior,Centaur,Nature,35,20,15,15,20,105,"Kingdom of Heretics, Unsullied Meadows",Paradigm
spr_crits_battle_2187.png,Centaur Chaser,Centaur,Nature,33,21,16,16,21,107,"Kingdom of Heretics, Unsullied Meadows",Square Nothing
spr_crits_battle_2194.png,Centaur Wrangler,Centaur,Nature,35,20,15,15,20,105,"Kingdom of Heretics, Unsullied Meadows",Sunny Disposition
spr_crits_battle_2188.png,Centaur Duelist,Centaur,Nature,36,21,16,16,21,110,"Kingdom of Heretics, Unsullied Meadows",Touch of Red
spr_crits_battle_2713.png,Centaur Khan,Centaur,Nature,31,21,21,12,22,107,Nature Guild,War Stomp
spr_crits_battle_1094.png,Cerberus Gatewatcher,Cerberus,Chaos,36,16,21,21,16,110,"Great Pandemonium, Kingdom of Heretics",Abaddon's Boon
spr_crits_battle_1096.png,Lightning Cerberus,Cerberus,Chaos,34,14,21,21,16,106,"Great Pandemonium, Kingdom of Heretics",Burst of Power
spr_crits_battle_1093.png,Caustic Cerberus,Cerberus,Chaos,35,15,20,20,15,105,"Great Pandemonium, Kingdom of Heretics",Channeling
spr_crits_battle_1095.png,Cerberus Hellguard,Cerberus,Chaos,32,12,23,23,18,108,"Great Pandemonium, Kingdom of Heretics",Hellblast
spr_crits_battle_1090.png,Ashmouth Cerberus,Cerberus,Chaos,36,16,21,21,16,110,"Great Pandemonium, Kingdom of Heretics",Spell Tap
spr_crits_battle_1091.png,Cerberus Banelord,Cerberus,Chaos,34,14,19,22,17,106,"Great Pandemonium, Kingdom of Heretics",Wrath of the Underworld
spr_crits_battle_1092.png,Bound Cerberus,Cerberus,Chaos,35,15,20,20,15,105,"Great Pandemonium, Kingdom of Heretics",Zero to One
spr_crits_battle_2200.png,Static Clutcher,Clutcher,Chaos,28,20,20,10,25,103,"Titan's Wound, Torture Chamber, Where the Dead Ships Dwell",Brain Zap
spr_crits_battle_2201.png,Venomous Clutcher,Clutcher,Chaos,30,20,20,13,25,108,"Titan's Wound, Torture Chamber, Where the Dead Ships Dwell",Contagion
spr_crits_battle_2203.png,Whiptail Clutcher,Clutcher,Chaos,28,18,21,11,26,104,"Titan's Wound, Torture Chamber, Where the Dead Ships Dwell",Lash
spr_crits_battle_2196.png,Doom Clutcher,Clutcher,Chaos,33,23,18,8,23,105,"Titan's Wound, Torture Chamber, Where the Dead Ships Dwell",Pain Flurry
spr_crits_battle_2202.png,Vital Clutcher,Clutcher,Chaos,30,20,20,10,25,105,"Titan's Wound, Torture Chamber, Where the Dead Ships Dwell",Seize
spr_crits_battle_2195.png,Deep Clutcher,Clutcher,Death,38,18,15,15,25,111,Death Guild,Shadowmeld
spr_crits_battle_2199.png,Necrotic Clutcher,Clutcher,Chaos,30,20,20,10,25,105,"Titan's Wound, Torture Chamber, Where the Dead Ships Dwell",Smack Around
spr_crits_battle_2197.png,Ethereal Clutcher,Clutcher,Chaos,27,20,20,10,25,102,"Titan's Wound, Torture Chamber, Where the Dead Ships Dwell",Sticky Fingers
spr_crits_battle_2198.png,Flamegrip Clutcher,Clutcher,Chaos,30,20,20,10,25,105,"Titan's Wound, Torture Chamber, Where the Dead Ships Dwell",Vehemence
spr_crits_battle_1204.png,Cold Cockatrice,Cockatrice,Chaos,38,18,18,18,18,110,"Caustic Reactor, Titan's Wound",Blending In
spr_crits_battle_1205.png,Contagious Cockatrice,Cockatrice,Chaos,38,18,18,18,18,110,"Caustic Reactor, Titan's Wound",Cock-a-doodle-doo
spr_crits_battle_1200.png,Clamorous Cockatrice,Cockatrice,Chaos,38,18,18,18,18,110,"Caustic Reactor, Titan's Wound",Odd One
spr_crits_battle_1203.png,Clawing Cockatrice,Cockatrice,Chaos,36,16,18,18,18,106,"Caustic Reactor, Titan's Wound",Outcast No Longer
spr_crits_battle_1201.png,Carrion Cockatrice,Cockatrice,Chaos,35,18,18,18,18,107,"Caustic Reactor, Titan's Wound",Strength In Numbers
spr_crits_battle_1202.png,Cave Cockatrice,Cockatrice,Chaos,38,18,18,18,18,110,"Caustic Reactor, Titan's Wound",Weird Dance
spr_crits_battle_1134.png,Blobbarian,Concoction,Chaos,34,19,19,22,12,106,"Caustic Reactor, Kingdom of Heretics",Acid Body
spr_crits_battle_1136.png,Mystery Mucus,Concoction,Chaos,33,21,21,21,11,107,"Caustic Reactor, Kingdom of Heretics",Dissolve
